Label,ID,Detection quality,Spot N links,Spot frame,Spot gaussian-filtered intensity,Spot gaussian-filtered intensity,Spot gaussian-filtered intensity,Spot gaussian-filtered intensity,Spot median intensity,Spot median intensity,Spot position,Spot position,Spot position,Spot radius,Spot track ID,Track N spots,TB,TB to PSM,TB to Somite,checked,other
,, , , ,Mean ch0,Mean ch1,Std ch0,Std ch1,Median ch0,Median ch1,X,Y,Z, , , ,Tag,Tag,Tag,Tag,Tag
,,,,,(Counts),(Counts),(Counts),(Counts),(Counts),(Counts),(micron),(micron),(micron),(micron),,,,,,,
136,136,,2,151,185.679655,2334.42856,16.38045332,284.0946688,184,2317,361.1307402,490.4569599,126.9273958,1.467255334,0,210,0,0,1,1,0
137,137,699.3372546,2,152,183.2616597,2292.210404,15.55247275,358.0348496,179,2114,361.011084,491.7651773,125.984387,1.467255334,0,210,0,0,1,1,0
138,138,684.8658444,2,153,183.9100588,2295.382368,15.92288158,343.5061412,182,1999,361.0176835,490.9999814,125.642871,1.467255334,0,210,0,0,1,1,0
139,139,588.7980982,2,154,182.0138994,2123.240257,17.63956742,314.1577439,176,1886,361.0345697,490.6123458,125.2354109,1.467255334,0,210,0,0,1,1,0
140,140,625.4084026,2,155,176.8196053,2072.947473,21.85723831,320.8190348,169,1781,361.0792578,490.4179737,125.261851,1.467255334,0,210,0,0,1,1,0
141,141,544.1649588,2,156,193.2402886,2014.266699,22.61723734,294.2631575,194,1883,360.9651574,488.9141015,126.5665935,1.467255334,0,210,0,0,1,1,0
142,142,573.3147869,2,157,187.5816327,2049.2872,19.63025324,283.0745984,187,1882,360.871186,489.1213139,126.1945581,1.467255334,0,210,0,0,1,1,0
143,143,519.802045,2,158,173.4661029,1800.966778,14.90159629,302.278498,173,1793,360.407189,490.0786993,125.7594668,1.467255334,0,210,0,0,1,1,0
144,144,452.6404351,2,159,177.5945772,1729.606365,16.54428627,316.5343423,177,1697,360.6220787,489.6024253,125.4202594,1.467255334,0,210,0,0,1,1,0
145,145,456.2881696,2,160,168.4755488,1681.69915,14.32549682,305.1088205,168,1599,360.6995453,489.7722084,125.3881739,1.467255334,0,210,0,0,1,1,0
146,146,445.184815,2,161,168.6163123,1619.05651,15.07425823,296.0006778,168,1586,360.5961102,489.5093211,125.1161009,1.467255334,0,210,0,0,1,1,0
147,147,467.2908567,2,162,166.6110671,1627.437244,15.24636423,298.1736227,166,1524,360.2978943,489.5888942,124.8187771,1.467255334,0,210,0,0,1,1,0
148,148,447.9453779,2,163,165.7042595,1658.928113,16.27504739,277.0808807,167,1623,360.0701204,489.0398977,124.4460271,1.467255334,0,210,0,0,1,1,0
149,149,399.2218809,2,164,185.354745,1792.928299,26.16039107,213.5243769,184,1794,360.7171837,488.1326573,125.5837907,1.467255334,0,210,0,0,1,1,0
150,150,547.710113,2,165,194.7719639,1844.389469,35.43354907,255.9613503,187,1819,360.7627128,487.0180935,125.9394955,1.467255334,0,210,0,0,1,1,0
151,151,614.6306798,2,166,181.246959,1912.983501,24.32686179,278.8313482,180,1908,360.3644324,486.8990683,125.6583973,1.467255334,0,210,0,0,1,1,0
152,152,607.2781418,2,167,172.5783392,1887.423936,17.61955177,300.2871469,174,1858,360.3117883,487.0637337,125.3744409,1.467255334,0,210,0,0,1,1,0
