"Label","ID","Link displacement","Link target IDs","Link target IDs","Link velocity","TB","TB to PSM","TB to Somite","checked","other"
"",""," ","Source spot id","Target spot id"," ","Tag","Tag","Tag","Tag","Tag"
"","","(micron)","","","(micron/frame)","","","","",""
"332 ? 333","329","1.5344724156543332","332.0","333.0","1.5344724156543332","1","0","0","1","0"
"333 ? 334","330","0.0","333.0","334.0","0.0","1","0","0","1","0"
"334 ? 335","331","0.590181698328584","334.0","335.0","0.590181698328584","1","0","0","1","0"
"335 ? 336","332","1.0623270569914671","335.0","336.0","1.0623270569914671","1","0","0","1","0"
"336 ? 337","333","0.5278745586155894","336.0","337.0","0.5278745586155894","1","0","0","1","0"
"337 ? 338","334","0.834642962040716","337.0","338.0","0.834642962040716","1","0","0","1","0"
"338 ? 339","335","1.1862505324128818","338.0","339.0","1.1862505324128818","1","0","0","1","0"
"339 ? 340","336","1.7862139410789524","339.0","340.0","1.7862139410789524","1","0","0","1","0"
"340 ? 341","337","1.5525256533566876","340.0","341.0","1.5525256533566876","1","0","0","1","0"
"341 ? 342","338","0.9733525922059804","341.0","342.0","0.9733525922059804","1","0","0","1","0"
"725 ? 726","460","2.4247107068510894","725.0","726.0","0.6061776767127723","0","0","0","0","0"
"941 ? 724","716","1.748483756343826","941.0","724.0","1.748483756343826","1","0","0","1","0"
"724 ? 725","717","0.878267571964085","724.0","725.0","0.878267571964085","1","0","0","1","0"
"726 ? 727","718","0.9698842827405082","726.0","727.0","0.9698842827405082","1","0","0","1","0"
"727 ? 728","719","2.1933392074730147","727.0","728.0","2.1933392074730147","1","0","0","1","0"
"728 ? 729","720","0.6789189979183898","728.0","729.0","0.6789189979183898","1","0","0","1","0"
"729 ? 730","721","1.264574389762071","729.0","730.0","1.264574389762071","1","0","0","1","0"
"730 ? 731","722","0.09698842827403946","730.0","731.0","0.09698842827403946","1","0","0","1","0"
"731 ? 732","723","0.781945707347832","731.0","732.0","0.781945707347832","1","0","0","1","0"
"732 ? 733","724","2.5895543468018904","732.0","733.0","2.5895543468018904","1","0","0","1","0"
"733 ? 734","725","1.0171787037556201","733.0","734.0","1.0171787037556201","1","0","0","1","0"
"734 ? 735","726","0.6126749224646826","734.0","735.0","0.6126749224646826","1","0","0","1","0"
"735 ? 736","727","0.9908271238244553","735.0","736.0","0.9908271238244553","1","0","0","1","0"
"736 ? 737","728","1.066612181280001","736.0","737.0","1.066612181280001","1","0","0","1","0"
"737 ? 738","729","2.987810352565632","737.0","738.0","2.987810352565632","1","0","0","1","0"
"738 ? 739","730","0.8728958544664688","738.0","739.0","0.8728958544664688","1","0","0","1","0"
"739 ? 740","731","0.8941891263155702","739.0","740.0","0.8941891263155702","1","0","0","1","0"
"740 ? 741","732","1.0843635932582083","740.0","741.0","1.0843635932582083","1","0","0","1","0"
