"Label","ID","Detection quality","Spot N links","Spot frame","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot position","Spot position","Spot position","Spot radius","Spot track ID","Track N spots","TB","TB to PSM","TB to Somite","checked","other"
"",""," "," "," ","Mean ch0","Mean ch1","Std ch0","Std ch1","X","Y","Z"," "," "," ","Tag","Tag","Tag","Tag","Tag"
"","","","","","(Counts)","(Counts)","(Counts)","(Counts)","(micron)","(micron)","(micron)","(micron)","","","","","","",""
"83","83","","2","93","197.89500999015814","2837.232706751752","17.675819356689036","165.5639661824002","360.1867745010235","501.0344116688781","125.42884585739442","1.4672553341771255","0","210","0","0","1","1","0"
"84","84","","2","94","217.05251096222008","2881.0339341866506","19.52202886275808","182.03673216627848","360.4997604564073","501.31952292146883","125.96072687151695","1.4672553341771255","0","210","0","0","1","1","0"
"85","85","483.84458231023757","2","95","225.11736503225907","2858.467065625974","17.79538182544368","206.78042998453304","361.1478768416793","501.96746363719734","125.92448840972189","1.4672553341771255","0","210","0","0","1","1","0"
"86","86","530.8348337815488","2","96","206.43058847255958","2576.045078191227","26.622824715022464","320.37646542413853","362.05613231935524","502.2166513735644","125.47396415754957","1.4672553341771255","0","210","0","0","1","1","0"
"87","87","525.873024405001","2","97","235.97622474275096","2895.4178104168514","26.191916702228088","195.9960781058918","361.6734600357493","500.58356716708005","126.02249473778463","1.4672553341771255","0","210","0","0","1","1","0"
"88","88","524.5083308712826","2","98","231.19894260579278","2806.8159119848024","22.92279164342699","252.60533418516306","361.7306355634916","501.4373861972279","125.74308617868773","1.4672553341771255","0","210","0","0","1","1","0"
"89","89","539.3125205419936","2","99","234.1362277329666","2790.9686457444377","24.115137623210014","243.2002735411465","361.799347550642","501.16758605226715","125.90939568526696","1.4672553341771255","0","210","0","0","1","1","0"
"90","90","538.1258302200491","2","100","224.36204813567338","2842.729932363302","23.249812898436204","233.0583310936288","361.8538947138879","500.18999561897454","125.80501498153286","1.4672553341771255","0","210","0","0","1","1","0"
"91","91","567.0029644316289","2","101","222.72791445725187","2829.1295219396698","21.997980208514498","249.23853046221654","361.51934592260534","499.9156311353535","125.97589036077134","1.4672553341771255","0","210","0","0","1","1","0"
"92","92","594.3344797129629","2","102","209.48872349589132","2871.1974865985862","20.96318597151912","254.5977509716565","361.4945773714614","499.7859259845626","125.74112499328083","1.4672553341771255","0","210","0","0","1","1","0"
"93","93","521.4209239585072","2","103","205.3072794529541","2756.145840382145","19.943830284985914","245.8150661667912","361.55442710104","499.57367781596963","125.91556102626961","1.4672553341771255","0","210","0","0","1","1","0"
"94","94","462.6770910826417","2","105","198.3170983755599","2781.10671711056","16.439755926518576","213.29186818520247","361.48309737022765","498.6400184547955","125.67207625828405","1.4672553341771255","0","210","0","0","1","1","0"
"95","95","653.0647056452269","2","106","199.02247365171317","2824.8186109975322","17.71368317041951","287.9685062733604","360.69014513892716","497.20140837867325","127.55471068564471","1.4672553341771255","0","210","0","0","1","1","0"
"96","96","566.7211056269972","2","107","188.65475535519428","2696.688429914043","17.573734351827863","282.5870420902475","360.6459074756089","497.1115233380656","127.70105457837658","1.4672553341771255","0","210","0","0","1","1","0"
"97","97","514.5895752495868","2","108","187.79809559819523","2745.6703290980004","16.575463895909873","214.4178839647031","361.19116602117924","497.4302050767373","126.88169781333515","1.4672553341771255","0","210","0","0","1","1","0"
"98","98","559.7805263289248","2","109","181.17256244285358","2662.7208189549838","15.04315817002507","265.4178367758741","360.75520117810487","497.1944985685083","127.86389518579418","1.4672553341771255","0","210","0","0","1","1","0"
"99","99","610.1775536130885","2","110","170.88550326589348","2639.550555803863","13.74267700980577","288.1344447793524","360.9623765174303","496.3037937747317","127.98311052652086","1.4672553341771255","0","210","0","0","1","1","0"
"100","100","592.2875099323052","2","111","168.66476692286287","2556.257721154401","13.43828062385363","278.39373368866137","361.14433764502064","496.05890896587607","127.81851765200403","1.4672553341771255","0","210","0","0","1","1","0"
"101","101","693.9077265807872","2","112","171.71014579149278","2751.15004922093","13.528963890838169","312.9956284011149","361.53160848486914","496.48533442827176","127.83006277124178","1.4672553341771255","0","210","0","0","1","1","0"
"102","102","680.7884661895991","2","113","178.97929088748486","2641.865795153755","17.585529794921904","332.33274425053315","361.62858088346667","496.01276903609283","128.00407675717352","1.4672553341771255","0","210","0","0","1","1","0"
"103","103","683.0619190435442","2","114","181.2867864414098","2573.937515988999","17.15372354255266","336.65687670900616","361.6157980710157","496.0054344786198","128.2264699353083","1.4672553341771255","0","210","0","0","1","1","0"
"104","104","759.7684748909899","2","115","197.8127837044224","2763.5239852987306","18.563425558465774","387.8954729046069","361.6140162666702","496.32807783608666","128.4317327622494","1.4672553341771255","0","210","0","0","1","1","0"
"105","105","761.2401503027012","2","116","213.6250927117572","2753.6429021602644","23.517099258400346","369.9320987545739","361.58465493092285","495.92512742998053","128.4206486755379","1.4672553341771255","0","210","0","0","1","1","0"
"106","106","647.8436283648573","2","117","223.14331774219295","2609.5135337994884","23.724958644277773","330.13591611782533","361.50859826731323","496.18737205204445","128.12818233148457","1.4672553341771255","0","210","0","0","1","1","0"
