"Label","ID","Detection quality","Spot N links","Spot frame","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot median intensity","Spot median intensity","Spot position","Spot position","Spot position","Spot radius","Spot track ID","Track N spots","PSMdtoSom","PSMdtoSomDiv","TBto Som"
"",""," "," "," ","Mean ch0","Mean ch1","Std ch0","Std ch1","Median ch0","Median ch1","X","Y","Z"," "," "," ","Tag","Tag","Tag"
"","","","","","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(micron)","(micron)","(micron)","(micron)","","","","",""
"109","109","","2","109","441.6477630177971","2312.9987159802067","66.28372076274184","223.49072685693585","418.0","2247.0","375.40515429478546","451.74262071734125","129.5684783090979","1.886374902779598","0","183","1","0","0"
"110","110","","2","110","413.83964910625576","2233.8799176635403","57.49802027892445","213.30913376128393","391.0","2153.0","375.6261658905245","451.309073418633","129.23322957432444","1.7985878990921376","0","183","1","0","0"
"111","111","","2","111","427.9541796575864","2261.713701746854","48.10888553683245","170.10530280027928","389.0","2168.0","374.8976661913315","451.30959874512615","129.10790415231622","1.7985878990921376","0","183","1","0","0"
"112","112","","2","112","438.79611820355166","2325.3270132622943","49.523483171114","175.31542401908672","420.0","2272.0","374.71433987003553","450.611895827436","129.93394098249033","1.7985878990921376","0","183","1","0","0"
"113","113","","2","113","394.22598421680595","2326.450192058621","57.769274095031996","162.0755368831733","383.0","2311.0","374.85212693302117","450.24501539338945","129.9327624708598","1.7985878990921376","0","183","1","0","0"
"114","114","","2","114","385.2088482450925","2253.1816169783865","47.90250918337654","218.65468659607967","371.0","2227.0","374.0416065958691","450.47872860405727","129.17905925392023","1.7985878990921376","0","183","1","0","0"
"115","115","","2","115","361.8983362843607","2218.946825311683","49.305324116470395","197.9150458697956","353.0","2192.0","374.9758934126126","449.93671262950664","129.3121981014594","1.7985878990921376","0","183","1","0","0"
"116","116","","2","116","365.81862969850835","2270.4815577498907","45.774171578945875","195.8163493093727","318.0","2068.0","374.54000418586384","449.6444723298363","129.20685710371995","1.7985878990921376","0","183","1","0","0"
"117","117","","2","117","361.4048551048177","2246.2680878915476","41.37461652979668","187.78162742763993","321.0","2096.0","374.6080054325897","449.34485292160366","129.19591719611725","1.7985878990921376","0","183","1","0","0"
"118","118","","2","118","349.5364451554667","2357.2481026056685","37.97030252399087","160.27655299376647","341.0","2327.0","374.1411228548387","448.33809273436174","129.02807542339187","1.7985878990921376","0","183","1","0","0"
"119","119","","2","119","329.0531006542619","2267.0247990979565","34.672049801866635","149.99420660910926","322.0","2228.0","373.96562685454387","448.2602640892846","128.98882195206164","1.7985878990921376","0","183","1","0","0"
"120","120","","2","120","321.38307412466577","2251.798079989134","37.52566163711989","177.0969969134646","312.0","2221.0","374.146720070567","448.6538626302136","129.05416972414653","1.7985878990921376","0","183","1","0","0"
"121","121","","2","121","300.3380448876158","2253.4556632799035","42.03357259561705","165.037642123744","284.0","2172.0","374.449718408473","448.16990488485453","129.0729108687217","1.7985878990921376","0","183","1","0","0"
"122","122","","2","122","284.8706337826743","2183.8591533444674","30.598698855602663","143.77977651976272","266.0","2085.0","374.1780264183142","447.83506070836444","128.99514368038552","1.7985878990921376","0","183","1","0","0"
"123","123","","2","123","279.2392140971286","2200.6420871415144","26.47863619067099","181.81448606293907","267.0","2102.0","374.17634084197874","448.4491097838123","130.01342292149778","1.7985878990921376","0","183","1","0","0"
"124","124","","2","124","268.439411794283","2212.827514971981","26.124168452542303","160.66690736525752","259.0","2089.0","373.5112604042748","447.63476317750644","129.8234772931705","1.7985878990921376","0","183","1","0","0"
"125","125","","2","125","259.87299236076086","2195.883990649481","23.604834893996312","166.79563776920858","252.0","2153.0","373.4632667415911","446.99514814199307","129.7637114950852","1.7985878990921376","0","183","1","0","0"
"126","126","","2","126","245.60515853358774","2140.278687995629","20.644679013309617","159.12099070054995","240.0","2112.0","373.0555881953168","446.555200176776","128.96661229482189","1.6350799082655798","0","183","1","0","0"
"127","127","","2","127","241.1842933469453","2087.2435326368272","18.782308654089032","136.0478239712508","232.0","2033.0","373.1348882057476","446.37601329044026","128.9673520491462","1.6350799082655798","0","183","1","0","0"
"128","128","","2","128","249.36466826348482","2040.5591929875102","21.318900527016712","152.26528012152718","248.0","2018.0","373.1518885174291","446.3011084383821","128.96461707224555","1.6350799082655798","0","183","1","0","0"
