"Label","ID","Link displacement","Link target IDs","Link target IDs","Link velocity","H","HtoL","adaxials","checked"
"",""," ","Source spot id","Target spot id"," ","Tag","Tag","Tag","Tag"
"","","(micron)","","","(micron/frame)","","","",""
"170 ? 169","99","4.119596317999176","170.0","169.0","4.119596317999176","0","1","0","1"
"171 ? 170","100","2.631799499945199","171.0","170.0","2.631799499945199","0","1","0","1"
"172 ? 171","101","3.814428763178425","172.0","171.0","3.814428763178425","0","1","0","1"
"173 ? 172","102","6.606127613594235","173.0","172.0","6.606127613594235","0","1","0","1"
"89 ? 173","103","7.2186965968683765","89.0","173.0","7.2186965968683765","0","1","0","1"
"90 ? 89","104","4.079189031473998","90.0","89.0","4.079189031473998","0","1","0","1"
"91 ? 90","105","6.840622121050404","91.0","90.0","6.840622121050404","0","1","0","1"
"92 ? 91","106","7.535289387269583","92.0","91.0","7.535289387269583","0","1","0","1"
"93 ? 92","107","6.383945288040817","93.0","92.0","6.383945288040817","0","1","0","1"
"94 ? 93","108","2.8847588182370085","94.0","93.0","2.8847588182370085","0","1","0","1"
"95 ? 94","109","2.781222831403187","95.0","94.0","2.781222831403187","0","1","0","1"
"96 ? 95","110","3.1768439280319813","96.0","95.0","3.1768439280319813","0","1","0","1"
"97 ? 96","111","3.308191953032847","97.0","96.0","3.308191953032847","0","1","0","1"
"98 ? 97","112","0.8322381964124693","98.0","97.0","0.8322381964124693","0","1","0","1"
"99 ? 98","113","0.5198950796844878","99.0","98.0","0.5198950796844878","0","1","0","1"
"100 ? 99","114","6.258160033407114","100.0","99.0","6.258160033407114","0","1","0","1"
"101 ? 100","115","6.681547626759051","101.0","100.0","6.681547626759051","0","1","0","1"
"102 ? 101","116","3.32301924122065","102.0","101.0","3.32301924122065","0","1","0","1"
"103 ? 102","117","5.766794970875831","103.0","102.0","5.766794970875831","0","1","0","1"
"104 ? 103","118","8.121273310035138","104.0","103.0","8.121273310035138","0","1","0","1"
"105 ? 104","119","7.283370468869627","105.0","104.0","7.283370468869627","0","1","0","1"
"106 ? 105","120","6.903316439649674","106.0","105.0","6.903316439649674","0","1","0","1"
"107 ? 106","121","8.017516865054683","107.0","106.0","8.017516865054683","0","1","0","1"
"108 ? 107","122","8.348907833296941","108.0","107.0","8.348907833296941","0","1","0","1"
"109 ? 108","123","9.796083106445785","109.0","108.0","9.796083106445785","0","1","0","1"
"110 ? 109","124","7.372376262018389","110.0","109.0","7.372376262018389","0","1","0","1"
"111 ? 110","125","6.411911935584268","111.0","110.0","6.411911935584268","0","1","0","1"
