"Label","ID","Detection quality","Spot N links","Spot frame","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot median intensity","Spot median intensity","Spot median intensity","Spot position","Spot position","Spot position","Spot radius","Spot sum intensity","Spot sum intensity","Spot sum intensity","Spot track ID","Track N spots","Honly","HtoL","checked","last peak"
"",""," "," "," ","Mean ch0","Mean ch1","Mean ch2","Std ch0","Std ch1","Std ch2","Median ch0","Median ch1","Median ch2","X","Y","Z"," ","Median ch0","Median ch1","Median ch2"," "," ","Tag","Tag","Tag","Tag"
"","","","","","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(micron)","(micron)","(micron)","(micron)","(Counts)","(Counts)","(Counts)","","","","","",""
"73","73","","2","58","121.26293629265672","228.47351046472824","4560.9491054377695","7.104555407356319","24.994276605870446","488.2612809391901","121.0","234.5","4408.5","373.2309411208667","271.1093934705976","24.765244298779184","2.2825136323633135","31277.0","59161.0","1168630.0","11","54","0","1","1","1"
"74","74","","2","57","121.81989914111519","221.50463770666255","4396.442872826699","6.992983121812965","23.834284786391667","519.0082674883217","121.0","229.5","4248.0","372.86522453657807","271.07428266136094","22.387975091604304","2.2825136323633135","35071.0","64445.0","1265297.0","11","54","0","1","1","1"
"75","75","","2","56","122.25697653871147","213.4772491980806","4755.267955135891","6.555159382912208","22.809486826362015","593.7641934676473","122.0","220.0","4624.0","372.370414709106","274.57015691713684","21.212794520080656","2.2825136323633135","35719.0","63058.0","1384225.0","11","54","0","1","1","1"
"76","76","","2","55","123.52693586137792","216.11246426032966","4719.024314346451","6.979160815664323","25.102070783860032","727.7298906550257","124.0","220.0","4615.0","373.2847061698275","274.4935560670834","17.73876549258683","2.2825136323633135","34941.0","61930.0","1339673.0","11","54","0","1","1","1"
"77","77","","2","54","124.29887785309643","200.01939676378106","4525.477958751285","7.160983002999417","24.67465275324806","439.59171303125316","124.0","205.0","4381.0","372.91898958553895","274.4839796847431","16.82436262256629","2.2825136323633135","35302.0","57276.0","1278350.0","11","54","0","1","1","1"
"78","78","","2","53","124.20654344911206","199.77242050025905","4637.73564175828","6.763330889135842","23.008792785481337","639.1015040269074","123.0","204.0","4487.0","372.37041470910606","274.5446224902405","19.749928182926332","2.2825136323633135","35923.0","58351.0","1338302.0","11","54","0","1","1","1"
"79","79","","2","52","125.61792414706957","213.70225370297675","4142.394103749064","8.19795805237789","28.508027263746524","483.61733984459823","125.0","222.0","4010.5","373.69606498172766","278.5252111627693","19.84255951220946","2.2825136323633135","35190.0","60128.0","1166544.0","11","54","0","1","1","1"
"80","80","","2","51","126.35723118803983","218.2425317316606","4429.008737868436","7.958295342466583","27.393273853422468","603.6235060307756","126.0","222.0","4299.0","370.89246040233485","284.2358652603192","18.474639600103973","2.2825136323633135","34513.0","60323.0","1222583.0","11","54","0","1","1","1"
"81","81","","2","50","128.75712805929373","210.27864220590902","4392.296572510601","7.875982688603419","26.133632793937597","508.4992926464732","128.0","219.0","4197.5","371.75378006607986","290.66602118508825","16.767743400657086","2.2825136323633135","35649.0","58739.0","1206291.0","11","54","0","1","1","1"
"82","82","","2","49","128.89597977444726","195.5247423846049","4468.439222800906","8.539373707687336","23.553441428491404","1023.3328764505893","129.0","203.0","4181.5","371.6693485311464","299.5364769370079","12.733015826326156","2.2825136323633135","32301.0","49670.0","1139241.0","11","54","0","1","1","1"
"83","83","","2","48","131.14817145842537","182.94491714433056","5313.244035551153","8.244400258329977","21.376409143502414","1031.6826387087028","132.0","189.5","5197.5","369.84324470618304","305.009786361735","12.796692589836562","2.2825136323633135","33318.0","46463.0","1372311.0","11","54","0","1","1","1"
"84","84","","2","47","132.55963291538126","186.81025994165736","6685.920904889699","8.68715970044693","19.98069139071591","2148.198763280323","133.0","189.5","5910.0","369.8573237747405","306.21939396426944","10.780311432689027","2.2825136323633135","37979.0","53857.0","1932764.0","11","54","0","1","1","1"
"85","85","","2","46","136.26724803010498","184.53007825111393","6748.285998515347","10.086493652816781","21.026004178113674","2659.185459979506","135.0","185.0","5604.0","370.55305316817964","309.1490419207177","15.018685439438181","2.2825136323633135","39908.0","54177.0","1949479.0","11","54","0","1","1","1"
"86","86","","2","45","139.9318714231943","173.44251235560827","7910.847583584488","9.812893659712687","18.071073058473697","2008.21302600417","141.0","176.0","7275.0","371.08462761382356","310.44738167198517","13.741683863466037","2.2825136323633135","38986.0","48883.0","2143202.0","11","54","0","1","1","1"
"87","87","","2","44","142.94016666378562","158.84981405254553","13213.742653411253","10.800494669871298","17.69893535077978","5786.325842201224","142.0","161.0","12011.0","371.5822011978897","312.9356285643695","13.750369042682475","2.2825136323633135","40799.0","45622.0","3797474.0","11","54","0","1","1","1"
"88","88","","2","43","143.72771487376468","163.85201384315647","8725.771476492504","12.242156041511517","18.17912670171421","3646.480897036987","142.0","164.0","7599.0","369.93647656859105","312.98988484638016","15.21273403799093","2.2825136323633135","41844.0","48307.0","2504762.0","11","54","0","1","1","1"
